prompt,prompt_len,target
Sanders and Biden Cancel Events as Coronavirus Fears Upend Primary.,13,1
U.S. and North Korean Officials Race to Resurrect Trump-Kim Meeting.,19,1
Thai Soldier in Mass Shooting Had Business Clash With His Commander.,13,0
Houston’s Hospitals Treat Storm Victims and Become Victims Themselves.,14,1
Problems Plague System to Check Gun Buyers.,9,1
"In India, Air So Dirty Your Head Hurts.",11,0
Obama May Ban Spying on Heads of Allied States.,12,1
"Law Lets I.R.S. Seize Accounts on Suspicion, No Crime Required.",20,1
"House Delivers Impeachment Charges to Senate, Paving the Way for a Trial.",18,1
"For Afghan Woman, Justice Runs Into Unforgiving Wall of Custom.",15,1
"His Tone Dark, Donald Trump Takes G.O.P. Mantle.",16,1
"In Visiting a Charred California, Trump Confronts a Scientific Reality He Denies.",19,1
India’s Supreme Court Orders Review of Gay Sex Ban.,13,0
Japan Scraps Olympic Stadium Plan Over $2 Billion Price Tag.,14,0
"Ray Robinson, Who Wrote of Gehrig the Man, Dies at 96.",18,0
Obama to Detail a Broader Foreign Policy Agenda.,11,0
China Strips Army Official of Position After Attack.,10,0
‘Florida Is a Terrible State to Be an Unemployed Person’.,14,0
A Civil Servant in Mexico Tests U.S. on Asylum.,14,1
Laos Presses Ahead With Mekong Dam Project.,9,0
"After a Lifetime Together, Coronavirus Takes Them Both.",11,0
Lead Prosecutor’s Abrupt Departure Rattles a Military Sexual Assault Case.,16,0
Moody’s Warns of Downgrade for U.S. Credit.,17,1
Turkey’s Crackdown Curiously Spares the Literary World.,14,0
Iran’s Government Declares Huge Turnout in First National Vote Since ’09 Protests.,21,0
Shinzo Abe Faces Growing Wrath of Okinawans Over U.S. Base.,18,0
Refugee Camp for Syrians in Jordan Evolves as a Do-It-Yourself City.,19,1
Secret Service Dreams of a New (14-Foot) White House Picket Fence.,19,0
Battles Over Voting Rules Fuel Concern About Postelection Fights.,12,1
All That Glitters May Redefine Run by Gingrich.,13,1
"For Politicians Scraping Bottom, a Scarce Resource: Impeachment Lawyers.",18,0
House Passes Bill Directing Obama to Proceed on Oil Pipeline.,13,0
"I. Michael Heyman, Smithsonian Leader, Dies at 81.",16,0
Divided House Passes Tax Deal in End to Latest Fiscal Standoff.,15,1
"Tom Seaver, Pitcher Who Led ‘Miracle Mets’ to Glory, Dies at 75.",21,1
G.O.P. Struggling With Shifts on Gay Marriage.,15,1
Bombing Kills Dozens and Hurts Schoolchildren as Taliban Talks Resume.,15,0
Syrian Jets Pound Rebel Positions as Opposition Presses for No-Fly Zone.,16,0
Hungary and Poland Threaten E.U. Stimulus Over Rule of Law Links.,17,1
Irish Lawmakers Recommend Repealing Strict Abortion Ban.,11,0
Rhode Island Settles Case on Jobs for the Disabled.,12,0
"Once a ‘Cuckoo’s Nest,’ Now a Museum.",14,0
Cameron Promises Another Dose of Austerity as British Elections Near.,14,0
Greek Pro-Euro Zone Alliance Seeks Traction for New Elections.,14,0
Putin Gains as Foes Offer Little Threat.,10,0
"Gunmen Rob Baghdad Jewelry Stores in Sight of Checkpoints, Killing at Least 14.",20,0
Thousands Back Antigraft Hunger Strike in New Delhi.,12,0
Indonesia Moves to Execute Foreign Convicts.,10,0
"Trump Names Mark Meadows Chief of Staff, Ousting Mick Mulvaney.",17,1
"For Covid-19 Vaccines, Some Are Too Rich — and Too Poor.",17,1
Speech Gives Climate Goals Center Stage.,8,1
Trump’s Takeover of the Republican Party Is Almost Complete.,14,1
Obama Sees Russia Failing in Syria Effort.,9,1
Democrats Try Wary Embrace of the Protests.,11,1
"A Rush to Protect Patients, Then Bloody Chaos.",11,1
"Rate of Oil Leak, Still Not Clear, Puts Doubt on BP.",15,1
Legal Strategy Taken by Shell Is Rarely Successful.,10,0
Contesting Jobless Claims Becomes a Boom Industry.,11,1
Alarm Grows in São Paulo as More Police Officers Are Murdered.,14,0
"As Kurds Tracked ISIS Leader, U.S. Withdrawal Threw Raid Into Turmoil.",20,1
"With Vatican Talks and Bulldozers, China Aims to Control Christianity.",15,1
Drowned in a Stream of Prescriptions.,10,1
Poland’s ‘Death Camp’ Law Tears at Shared Bonds of Suffering With Jews.,18,1
Court to Weigh Arizona Statute on Immigration.,9,1
"To Maintain Supply of Sex Slaves, ISIS Pushes Birth Control.",14,1
"As Suburban Women Turn to Democrats, Many Suburban Men Stand With Trump.",15,1
"Hillary Clinton’s Expectations, and Her Ultimate Campaign Missteps.",14,1
French Legislators Debate Stand on Palestinian Statehood .,11,0
Report Accuses Mexico of Crimes Against Humanity in Drug War.,13,0
John Boehner: From Speaker of the House to Cannabis Pitchman.,15,1
Use of Drug Challenged in Death Penalty Case.,11,0
China Targeting Rights Lawyers in a Crackdown.,10,1
China Admits Problems With Three Gorges Dam.,11,0
"Tibetan Leader, a Red Sox Fan, Knows the Value of Taking the Long View.",19,0
Hit Men and Power: South Africa’s Leaders Are Killing One Another.,16,1
Fight Against Sexual Assaults Holds Colleges to Account.,11,1
Lead Prosecutor’s Abrupt Departure Rattles a Military Sexual Assault Case.,16,0
"Joseph L. Bruno, Power Broker in New York Senate, Dies at 91.",19,0
"Driven by South’s Past, Black Women Seek Votes and a New Future.",17,1
‘You Couldn’t See Anything’: Harrowing Helicopter Rescues as California Wildfires Rage.,20,1
Push for Ethnic Studies in Schools Faces a Dilemma: Whose Stories to Tell.,16,1
Obama to Insist on Tax Increase for the Wealthy.,13,1
Hillary Clinton Relying on Southern Primaries to Fend Off Rivals.,15,1
"Tasked With Combating Opium, Afghan Officials Profit From It.",14,1
Morocco Orders U.N. to Cut Staff in Disputed Western Sahara Territory.,17,0
"U.S. Cyberattack Hurt Iran’s Ability to Target Oil Tankers, Officials Say.",21,0
Airstrikes by U.S. and Allies Hit ISIS Targets in Syria.,17,1
Surgery Reveals North Korean Defector Is Riddled With Parasitic Worms.,15,0
F.B.I. Agent Defends Actions in Russia Inquiry in Contentious House Testimony.,20,1
"One Year After Shootout, Waco’s Bikers Struggle to Move On.",17,0
"Hackers Attack GreatFire.org, a Workaround for Websites Censored in China.",19,0
"Cécile Rol-Tanguy, French Resistance Fighter, Dies at 101.",20,0
"As Chinese Flock to Siberia’s Lake Baikal, Local Russians Growl.",17,0
Drone Strikes’ Risks to Get Rare Moment in the Public Eye.,14,1
Prosecutor Puts Leader of Argentina on Defensive.,10,0
"Robert C. Byrd, a Pillar of the Senate, Dies at 92.",18,1
"Gunman in Munich Kills 9, Then Himself, the Police Say.",16,1
"As Time Runs Short, Optimism Fades for a Pre-Election Stimulus Deal.",18,0
"Trump Considers Them Terrorists, but Some Are Allies.",13,1
Israeli Official Weighs an Imposed Palestinian Border.,11,1
"A Tea Party Star Stirs Iowans, and She Isn’t Palin.",18,1
"Dallas Schools, Long Segregated, Charge Forward on Diversity.",14,1
Report Links Failed Afghan Project to Soldiers’ Deaths.,11,0
U.S. Cyberattacks Target ISIS in a New Line of Combat.,16,1
"Karen Blumenthal, 61, Dies; Journalist Turned Young-Adult Author.",18,0
"Mexico, Outraged at Arrest of Ex-Official, Threatened to Toss U.S. Agents.",21,1
Writer Defends His Handling of Interview With Assad.,11,0
"A Couple Gaining Independence, and Finding a Bond.",12,1
"In Real Estate Deal, Romney Made His Loss a Couple’s Gain.",16,1
"Suicide Bomber Kills Up to 8 in Xinjiang, Radio Free Asia Reports.",16,0
A Fierce Clash for Romney and Perry as Republican Candidates Debate.,14,1
"Before Voting, Russian Leaders Go to the Polls.",11,1
Three Americans Are Killed in a Shooting at Kabul Airport .,12,0
"Before the Gunfire in Virginia, a Volatile Home Life in Illinois.",15,1
Republicans Worry a Falling Donald Trump Tide Will Lower All Boats.,13,1
Liberal Activists Join Forces Against a Common Foe: Trump.,14,0
"Iran Lifts Ban on Director, Saying He Issued an Apology.",15,0
Treasury Dept. Hits Russia With New Sanctions.,10,0
"One Year After Shootout, Waco’s Bikers Struggle to Move On.",17,0
"James Sherwood, Who Revived the Orient Express, Dies at 86.",17,0
‘Aid in Dying’ Movement Takes Hold in Some States.,13,1
U.N. to End Some Deals for Food to Somalia.,14,0
The Unforeseen Threats to the 2020 Election: Hand Sanitizer and Bad Plumbing.,22,0
Hillary Clinton Camp Is Making Moves to Check Joe Biden.,12,1
Trump’s Hopes of Being the ‘Neutral Guy’ in the Mideast Seem Long Gone.,21,1
Thousands Flee in Cameroon as Separatists Battle for New Nation.,14,0
The Pentagon’s ‘Terminator Conundrum’: Robots That Could Kill on Their Own.,18,1
Rare Harmony as China and U.S. Commit to Climate Deal.,15,1
Trump’s Wall Stance Upends Washington’s Usual Border Bargaining.,16,1
Huge Protests in Honduras as Contested Vote Crisis Escalates.,14,0
Accused Soldier in Brig as WikiLeaks Link Is Sought.,14,1
"Fugitive Mexican Ex-Governor, Wanted in U.S., Is Captured in Italy.",20,0
Trump Administration Sues to Try to Delay Publication of Bolton’s Book.,16,1
A Window Onto Evolving Traditions in Paris.,11,0
G.O.P. Insider Fuels Tea Party and Suspicion.,15,1
Europe Jolted by Extremes of Weather.,10,0
Power Broker Savors a Victory in San Francisco.,11,1
Police Officers in Swaziland Squash Rally for Democracy.,10,0
Trump’s Choice of Stephen Bannon Is Nod to Anti-Washington Base.,17,1
Germans Eager to See Whose Parade a Carnival Float Will Rain On.,15,0
Intercepts Solidify C.I.A. Assessment That Saudi Prince Ordered Khashoggi Killing.,21,0
"In Virginia Trial of McDonnell and Wife, an Imposing Judge Sets the Pace.",17,0
Japan and Utility Are Found Negligent Again in Fukushima Meltdowns.,15,0
Brown Asks California to Cheer Rail Project.,10,0
"Pamela Tiffin, Movie Star Who Shone Brightly but Briefly, Dies at 78.",21,0
"Israeli Girl, 8, at Center of Tension Over Religious Extremism.",16,0
"Nigerian Jet Mistakenly Bombs Refugee Camp, Killing Scores.",13,0
"A Video, a Wheelchair, a Suitcase: Mystery of Vanished Tycoon Deepens.",19,0
"Trent Franks, Accused of Offering $5 Million to Aide for Surrogacy, Resigns.",21,1
"Romney, Always Campaigning for Others ... and for Himself.",14,1
Afghan Attacks Kill Dozens in Deadliest Day for Civilians This Year.,17,0
"Schapelle Corby, Drug Trafficker and Australian Obsession, Returns Home.",19,0
Democrats Discard Washington Platform in Bid for House Control.,11,1
"Raising Prospect of Impeaching Trump, House Seeks Mueller’s Grand Jury Secrets.",19,1
Not ‘Lone Wolves’ After All: How ISIS Guides World’s Terror Plots From Afar.,21,1
24 States’ Laws Open to Attack After Campaign Finance Ruling.,14,1
U.N. Says 7 Billion Now Share the World.,14,0
Democrats Win Control in Virginia and Claim Narrow Victory in Kentucky Governor’s Race.,17,1
"Man Spent Donations to Black Lives Matter on Himself, Prosecutors Say.",15,0
"Corey Lewandowski, Donald Trump’s Campaign Manager, Is Charged With Battery.",16,1
"Mattis Tries to Put Brakes on Possible Syria Strike, to ‘Keep This From Escalating’.",20,1
"Dancing in the Streets, and a Parking Lot, for Joe Biden.",15,0
"Irish Media, Fearing Lawsuits, Steers Clear of a Billionaire.",17,0
"Huge Oil Spill in Land of Earthquakes, Tsunamis and Volcanoes.",15,0
"Kamala Harris Takes the Spotlight, a Moment for Her and History.",15,1
Pakistan Picks New Director for Spy Agency.,9,0
"Accused G.I. ‘Snapped’ Under Strain, Official Says.",17,1
"For India Rape Victim’s Family, Many Layers of Loss.",14,0
West’s Drought and Growth Intensify Conflict Over Water Rights.,14,1
The G.O.P.’s High-Risk Strategy for Health Law Repeal.,19,1
Border Posts Fall Into the Hands of Syrian Rebels.,11,1
"Before Super Tuesday, Big Names Rally to Romney.",11,1
W.H.O. Issues New Guidelines on Safely Burying Ebola Victims.,17,0
A Laboratory for Revitalizing Catholicism.,8,0
Tainted Water at 2 Reactors Increases Alarm for Japanese.,14,1
Afghan Conflict Losing Air Power as U.S. Pulls Out.,15,1
"In South Korea, Another Former President Lands in Jail.",12,0
Dream of a Better Life in Afghanistan Ends in a Hilltop Grave for Students.,17,1
Ancient Purebred Horse With Bronze-Plated Saddle Is Discovered in Pompeii.,16,0
U.S. Officials Return to Pursuit of 1985 Killer of American Agent.,20,0
China and Russia Fail to Reach Deal on Gas Plan.,12,0
"Giving Voice to France’s Poorest Youth, With Rhymes and Beats.",16,0
India Asks Pakistan to Investigate Root of Panic.,11,0
Ex-FIFA Official Cites Satirical Article From The Onion in His Self-Defense.,19,0
Ready to Fight Gay Marriage at Court Door.,10,1
Cain’s Lawyer on Accusing: ‘Think Twice’.,13,1
"South Africa’s  Zuma, Tested by Mining Crisis, Faces Scandal Close to Home.",20,0
Afghan Province Tucked in Mountains Lies Beyond Reach of Aid and Time.,15,0
"From Trump’s Mar-a-Lago to Facebook, a National Security Crisis in the Open.",21,1
Tension With Russia Rises as U.S. Halts Syria Negotiations.,15,1
"Afghan Equality and Law, but With Strings Attached.",11,0
"Erdogan Triumphs After Coup Attempt, but Turkey’s Fate Is Unclear.",18,1
Experts Weigh Officer’s Decisions Leading to Fatal Shooting of Michael Brown.,15,1
Resignations Threaten Italian Coalition.,9,0
Arab Alliance Rises as Force in Israeli Elections.,10,1
"In Land That Values Ivory, Wild Elephants Find a Safe Haven.",14,1
Iraq’s Sunni Strategy Collapses in Ramadi Rout.,13,1
Bahamas Stunned as Hurricane Recedes: ‘It’s Like a Bomb Went Off’.,21,1
Lawmakers Urge John Kerry to Press U.N. for Haiti Cholera Response.,18,0
Tiger Farms in China Feed Thirst for Parts.,11,0
Some in G.O.P. Who Deserted Donald Trump Over Lewd Tape Are Returning.,21,1
Republican Lawmakers Vow Fight to Derail Nuclear Deal.,14,1
A Leaderless Palestinian Revolt Proves More Difficult to Curb .,13,0
Souring World Views of Trump Open Doors for China and Russia.,14,0
Mastering the Art of Home Restoration: A Julia Child Sequel.,14,0
"Pierre Troisgros, Renowned French Restaurateur, Dies at 92.",18,0
Parents of 545 Children Separated at the Border Cannot Be Found.,17,1
Iceland Voters Set to Reject Debt Deal.,9,0
"John von Sternberg, Seller and Protector of Homes, Dies at 79.",18,0
"Taliban Claim They’ve Taken Control of Western Afghan City, Farah.",16,0
"Alex Trebek, Longtime Host of ‘Jeopardy!,’ Dies at 80.",20,1
"Geoffrey Nunberg, Expert on How Language Works, Dies at 75.",17,0
Forum Offers Preview of Hillary Clinton and Donald Trump Presidential Debate.,13,1
Peace Envoys From Taliban at Loose Ends in Qatar.,13,1
Cast-Out Police Officers Are Often Hired in Other Cities.,14,1
The Gridlock Where Debts Meet Politics.,10,1
Frustrated Strivers  in Pakistan Turn to Jihad.,12,1
"For a Blunt Biden, an Uneasy Supporting Role.",12,1
F.A.A. Says Air Traffic Staffing Is Returning to Normal.,16,0
"For Bashar al-Assad, Winning the Syrian War May Lead to New Troubles.",18,1
"Protesters Disrupt Thai Voting, Forcing Additional Elections.",13,0
New Human Rights Panel Raises Fears of a Narrowing U.S. Advocacy.,17,0
No Clear Winner in Debate Between Merkel and Challenger.,11,0
Tunisian Clash Spreads Fear That Libyan War Is Spilling Over.,15,0
Trump Warns House Republicans: Repeal Health Law or Lose Your Seats.,16,1
"Colombia Peace Deal Is Defeated, Leaving a Nation in Shock.",14,1
Tentative Deal Reached for Christine Blasey Ford to Testify on Thursday.,17,1
British Parties Jockey to Form Governing Alliance.,9,1
"Obama Quietly Gives Advice to 2020 Democrats, but No Endorsement.",19,1
Saudi Arabia Executes 37 in One Day for Terrorism.,13,0
Zambia Votes Amid Economic Slowdown and Political Violence.,11,0
"As Malaysia Moves to Ban ‘Fake News,’ Worries About Who Decides the Truth.",19,0
Rally Signals Fatah’s Rift With Hamas May Ease.,13,1
Trump’s Endorsement of Roy Moore Points Up a G.O.P. Problem: Chaos.,22,1
"In the Carolinas, Churches Provide Spiritual Refuge and Shelter From the Storm.",16,1
Ohio County Losing Its Young to Painkillers’ Grip.,13,1
Steep Slide in Currency Threatens Iran’s Economy.,13,0
International Criminal Court Will Investigate Duterte Over Drug War.,11,0
Refugee Camp for Syrians in Jordan Evolves as a Do-It-Yourself City.,19,1
Afghans Protest Vengeful Militias.,10,0
Andrew Yang’s Quest to ‘Make America Think Harder’.,13,0
"Calling Bankers’ Bluff, Merkel Won Europe a Debt Plan.",13,1
"Once Dominant, the United States Finds Itself Isolated at G-20.",16,1
U.S. Report Faults Two Sides in Deadly Pakistan Strike.,15,1
Poland Bars Russia’s Night Wolves Motorcycle Club.,11,0
List of Pardons Included Many Tied to Power.,11,1
Ousted Chinese Leader Is Said to Have Spied on Other Top Officials.,16,1
"‘Cruise Ships on Land’: As Las Vegas Reopens, a Huge Test for Casinos.",19,1
An Arkansas Community Looks for an Execution to End Its Ache.,13,1
"Trump Clashes Early With Courts, Portending Years of Legal Battles.",15,1
"Pope, Off Script, Nods to Atheists in Holiday Call for World Peace.",18,0
"Big Donors, Small Donors: Pete Buttigieg Has Courted Them All — Successfully.",19,1
Southern Iraq’s Toxic Twilight.,8,1
Family Battle Offers Look Inside Lavish TV Ministry.,11,1
California Gives Expanded Rights to Noncitizens.,9,1
U.N. Seeks More Recruits to Monitor Truce in Syria.,18,0
Poultry Plant in Deadly Fire Won Plaudits From Chinese.,14,0
"Lem Johns, Who Guarded Johnson in Dallas, Dies at 88.",17,0
"Rose Cochran, a Figure in a Campaign Attack Video, Dies at 73.",18,0
Obama Urges Congress to Restore Unemployment Benefits.,10,0
"Pence, Returning to Tough Stance on North Korea, Announces New Sanctions.",17,0
Iranian Exile Group Poses Vexing Issue for U.S. in Iraq.,17,0
"Anguished by ‘Spiral of Hate,’ Charleston Pastor and Pittsburgh Rabbi Grieve as One.",20,1
"Taking Harder Stance Toward China, Obama Lines Up Allies.",13,0
A Dutch City Seeks to End Drug Tourism.,11,1
Top Russian Official Tried to Broker ‘Backdoor’ Meeting Between Trump and Putin.,17,1
Ukraine Military Finds Its Footing Against Pro-Russian Rebels.,13,1
"As Democrats Fret, Pelosi Vows to Act Again on Stimulus Plan Before Election.",18,0
West and Iran Seen as Nearing a Nuclear Deal.,12,1
Europe Combats a New Foe of Political Stability: Fake News.,15,1
"Ben Carson Is Struggling to Grasp Foreign Policy, Advisers Say.",16,1
Wisconsin Leads Way as Workers Fight State Cuts.,10,1
Democrats Wary as Two Senators Decide to Retire.,11,1
European Union Adds Military Wing of Hezbollah to List of Terrorist Organizations.,15,0
"A City Celebrates a Brand New Stadium, but Not After 9 P.M. in Some Quarters.",23,0
Obama Weighs ‘Limited’ Strikes Against Syrian Forces.,12,1
"Pope Francis, Arriving in Cuba, Seeks to Revive Church.",16,1
"Nominating Trump, Republicans Rewrite His Record.",10,1
G.O.P. Faces Another Midterm Threat as Trump Plays the Shutdown Card.,19,1
"After Deadly Assault on Afghan Base, Taliban Sit for Talks With U.S. Diplomats.",20,1
"Wooing Hispanic Voters at Home, Republicans Turn to Latin America.",14,1
Brazil’s Politicians Often Play the Clown in Ads.,13,0
Russia Sending Missile Systems to Shield Syria.,9,1
Russia Moves to Extend Control of Media.,9,0
"Immigrants Hide, Fearing Capture on ‘Any Corner’.",14,1
U.N. Envoys Ask Malaysia to Protect Activists.,15,0
"Holding Their Noses, Louisiana Officials Act to Narrow State Budget Gaps.",15,0
California’s ‘Green Rush’ Takes Hmong Back to Their Opium-Growing Roots.,19,0
Ukraine Halts Repayments on $3.5 Billion It Owes Russia.,17,0
"Russia, in Reversal, Confirms Radiation Spike.",12,0
Ivory Coast Leader Swayed by Force as He Considers Exit.,14,1
"A Symbol of Hope for Haiti, a Landmark Again Stands Tall.",14,0
Iran’s Missile Tests Remind the U.S. That Tensions Have Not Ended.,19,0
Alcohol Limits in Turkey.,6,0
"Ukraine Crisis in Mind, Lithuania Establishes a Rapid Reaction Force.",14,0
15 Kidnapped Pakistani Soldiers Executed by the Taliban in a Retaliatory Gesture.,19,0
Minneapolis to Pay $20 Million to Family of Police Shooting Victim.,15,0
<div>Germany’s Extreme Right Challenges Guilt Over Nazi Past </div>.,17,0
"Florida Is No Stranger to Hurricanes, but This Is Different.",13,1
Inquiry Sees Chaos in Evacuations After Japan Tsunami.,12,0
Justices Limit Use of ‘Honest Services’ Law Against Fraud.,14,1
U.N. to Help U.S. Screen Central American Migrants.,17,0
"To Test Virus Vaccines, U.K. Study Will Intentionally Infect Volunteers.",17,0
Shortcuts Seen by Firm Doing Security Checks.,10,1
Picture Him in a Mohawk: A Czech Prince Seeks Young Voters.,15,0
Chinese Search for Infant Formula Goes Global.,9,1
Denmark Leads Nationalist Challenge to Europe’s Open Borders.,12,1
Reaction to Ferguson Decision Shows Racial Divide Remains Over Views of Justice.,14,1
"Afghan Leaders Try to Halt Exodus, but Pleas Ring Hollow.",13,0
"Trendy Spot Urges Tourists to Ride In and Spend, ‘Gangnam Style’.",18,1
Europe Tries to Lure Chinese Cash to Back Rescue of Euro.,13,1
"After Talks Falter, Iran Says It Won’t Halt Uranium Work.",16,0
Self-Immolation Is on the Rise in the Arab World.,14,0
Increased Activity at North Korean Nuclear Site Raises Suspicions.,13,0
House Finds Holder in Contempt Over Inquiry on Guns.,12,0
What Arizona’s Tenuous Virus Plateau Could Teach Us.,14,0
"In Parched California, Town Taps Run Nearly Dry.",13,1
No Survivors Reported in Pakistan Plane Crash.,9,0
German Intelligence Agency Puts Far-Right Party on Warning.,12,0
Grim Reality: Czech TV Makes Game of Nazi Era.,12,1
White House Budget Official Said 2 Aides Resigned Amid Ukraine Aid Freeze.,17,1
‘It’s Pure Panic’: A Wrenching Wait at Nursing Home Where Coronavirus Took Hold.,20,1
Private Letters of Prince Charles Released After Long Court Battle.,12,0
"In California, Asking Voters to Raise Taxes.",10,1
"Peter Serkin, 72, Dies; Pianist With Pedigree Who Forged a New Path.",23,0
"In Judge Neil Gorsuch, an Echo of Scalia in Philosophy and Style.",18,1
U.S. Intelligence Community Reacts With Fury to Trump’s Rebuke.,19,0
Hungary’s Lawmakers Reject Plan to Block Resettlement of Refugees.,15,0
"Irish Palates, Enticed by Other Carbs, Are Losing Their Taste for a Signature Starch.",21,0
"Italian Neighbors Build a Social Network, First Online, Then Off.",14,0
‘It’s Like Having No Testing’: Coronavirus Test Results Are Still Delayed.,17,0
It’s a Season of Recalls for Voters in Wisconsin.,14,0
Leaders’ Lavishness Gives Rise to ‘Lifestyle Audits’.,12,0
Trump Inspires California Lawmakers to Go on Offense.,12,1
Illegal Immigrants See Opportunity in New Rule.,9,0
"Where Trump Zigs, Tillerson Zags, Putting Him at Odds With White House.",19,1
"For Hezbollah, Claiming Victory Could Be Costly.",12,0
"American Children, Now Struggling to Adjust to Life in Mexico.",14,1
"Herman Wallace, Freed After 41 Years in Solitary, Dies at 71.",20,0
Obama Commutes Sentences for 8 in Crack Cocaine Cases.,13,1
Fidel Castro Shares Views on Warming of Relations.,11,0
Pete Buttigieg Confronts Race and Identity in Speech to Gay Group.,17,0
"Images Show Mass Graves in Sudan, Group Says.",11,0
"Coronavirus May Kill 100,000 to 240,000 in U.S. Despite Actions, Officials Say.",32,1
Syria Uses Scud Missiles in New Effort to Push Back Rebels.,14,1
A Russian Lake’s Future Hangs on Tourists and Toilets.,15,0
Suicides Put Light on Pressures of Gay Teenagers.,13,0
"Another Day, Another Claim That Castro Is Really Dead.",12,0
How a Divided Left Is Losing the Battle on Abortion.,12,1
"In Shift, Egypt Warms to Iran and Hamas, Israel’s Foes.",18,1
"One by One, ISIS Social Media Experts Are Killed as Result of F.B.I. Program.",22,1
"Tanks, Missiles and No Pigeons: China to Celebrate 70th Birthday of the People’s Republic.",26,1
"While Asking for Help, Detroit Sells a Comeback.",12,0
Switzerland Votes to Ease Citizenship for Third-Generation Immigrants.,12,0
Modi Orders 3-Week Total Lockdown for All 1.3 Billion Indians.,18,1
Trump Is Said to Have Known of Payment to Stormy Daniels Months Before He Denied It.,19,1
"Girl, 9, Gives School Lunch Failing Grade.",12,0
Seeking: Big Democratic Ideas That Make Everything Better.,11,1
A Great Migration From Puerto Rico Is Set to Transform Orlando.,13,1
‘Unbelievable Turmoil’: Trump’s First Month Leaves Washington Reeling.,17,1
"Tom Spurgeon, Who Surveyed the Comic Book World, Dies at 50.",19,0
Bahrain: Unity Plan Denounced.,8,0
"Haze Returns to Mexico City, Where Not Driving Is Hardly an Option.",16,0
"Deadline Nearing, Iran Presses for Progress in Nuclear Talks.",13,0
"Putin Takes a Pay Cut, as Does Most of the Kremlin.",14,0
"Trudeau, in Trouble in Much of Canada, Still Has Fans in Quebec.",17,0
"Police Killings Rise Slightly, Though Increased Focus May Suggest Otherwise.",14,1
"A Florida Bush Stays Silent, and to Many, That Says a Lot.",16,1
G.O.P. Clings to One Thing It Agrees On: Spending Cuts.,20,1
Obama Seeks to Unify Allies as More Airstrikes Rock Tripoli.,16,1
Liberals Hope Elizabeth Warren Will Serve as Clinton’s Scrutinizer in Chief.,18,1
Israel Struggles With Its Identity.,8,1
Japan Hints It May Revise an Apology on Sex Slaves.,14,0
Trump Pushes Iraq to Stop Buying Energy From Iran.,12,0
"Along Hurricane Dorian’s Tortured Path, Millions Are United in Fear.",16,1
Tales of Escapees in Nigeria Add to Worries About Other Kidnapped Girls.,18,1
Mueller Exposes the Culture of Lying That Surrounds Trump.,14,1
Abductions Hurt U.S. Bid to Train Anti-ISIS Rebels in Syria.,19,1
"In China’s War on the Coronavirus, a Community Is Besieged.",17,1
"Judging Detainees’ Risk, Often With Flawed Evidence.",15,1
Egypt’s Leader Says He Won’t Intervene in Case of Jailed Journalists.,19,0
"In Farewell, Obama Sets Red Lines That Would Pull Him Back Into Fray.",16,1
"On Sundays in Senegal, Surf’s Up for the Sheep.",14,0
Behind Illicit Massage Parlors Lie a Vast Crime Network and Modern Indentured Servitude.,20,1
Egyptian Military Files Charges Against Investigative Journalist.,10,0
Briefing on Protest for Palestinian Unity Becomes a Rally Itself.,13,0
"‘If It’s Here, It’s Here’: America’s Retirees Confront the Virus in Florida.",24,0
U.S. and Israel Shift Attention to Peace Process.,13,1
Soldier Sentenced to Life Without Parole for Killing 16 Afghans.,15,0
Trump Berates Canada and Threatens Car Tariffs as Nafta Talks Falter.,18,0
"Wobbly After Iowa, Biden Confronts a Perilous Moment.",17,1
Old Democratic Name (Nunn) Stakes Bid on Shifting Georgia .,14,1
Trump Administration to Lift Ban on ‘Trophy’ Elephant Imports.,14,0
Trump Plans to Send National Guard to the Mexican Border.,12,1
European Official Criticizes Russian Law Banning Transgender Drivers.,14,0
Afghan Court Confirms Reduced Sentences in Mob Killing of Farkhunda.,16,0
Jellyfish Invasion Paralyzes Swedish Reactor.,9,0
Senate Asks C.I.A. to Share Its Report on Interrogations.,19,1
‘Moscow Mitch’ Tag Enrages McConnell and Squeezes G.O.P. on Election Security.,23,1
Adviser to Emirates With Ties to Trump Aides Is Cooperating With Special Counsel.,18,1
‘Our First Mistake Will Be Our Last’: Pakistani Rights Movement Defies Army.,17,0
"2 Security Complex Car Bombings Kill Dozens, Syria Says.",14,0
"For Uninsured, Clearing a Way to Enrollment.",11,1
Justices to Hear Case on Religious Objections to Same-Sex Marriage.,16,1
The Sly Coyote Becomes a Bounty Hunters’ Target in Utah.,13,0
"Jayme Closs, Kidnapped by a Stranger, Endured Horror, Police Say.",20,1
"New Quake Tests Resilience, and Faith, in Japan’s Nuclear Plants.",16,0
Why So Many Children Are Being Killed in Aleppo.,11,1
Trump Inherits a Secret Cyberwar Against North Korean Missiles.,15,1
Congress Passes $1.8 Trillion Spending Measure.,12,1
Idahoan’s Unlikely Journey to Life as a Taliban Prisoner.,15,1
"As Kurds Tracked ISIS Leader, U.S. Withdrawal Threw Raid Into Turmoil.",20,1
"Tornadoes Kill 25 in Tennessee, Shredding Buildings in Nashville Area.",17,1
E.U.’s Leadership Seeks to Contain Hungary’s Orban.,17,1
"Saudi Women, Tired of Restraints, Find Ways to Flee.",15,1
Traces of Montana Oil Spill Are Found in Drinking Water.,12,0
Chinese Hit Back Against a Foreign Intrusion: Christmas.,12,0
