prompt,prompt_len,target
HAMILTON GRANGE LIBRARY,6,1
ATRIA WEST 86 BUILDING,8,1
ST JOSEPH RC CHURCH ASTORIA,7,0
ALL MY CHILDREN DAY CARE & NURSERY SCHOOLS SUTPHIN BLVD,15,0
WASHINGTON HTS REHAB PHASE III HOUSES BUILDING 6,12,1
RANDALL ISLND CONN PD OV BX KILL,12,1
SOUTH BEACH HOUSES BUILDING 6,8,0
ELLIS ISLAND FERRY LANDING,8,1
BELT PARKWAY SOUTHERN FIELD,7,0
HOUSE ON THE ROCK,5,0
ST RAYMOND ELEMENTARY SCHOOL,7,0
DYCKMAN HOUSES BUILDING 3,9,1
WILLIAMSBURG SATMAR SENIOR CENTER,8,0
PURPLE HEART MEMORIAL,5,0
HARLEM VISTA HOTEL,5,1
RIVERTON SQUARE APARTMENTS,7,1
TBTA MANHATTAN SERVICE BUILDING,9,1
STUYVESANT TOWN - 17 SO/ 15 SO/ 11 SO,21,1
ASSER LEVY PARK,6,1
PLAYGROUND EIGHTY (LXXX),9,0
BOSTON ROAD NEIGHBORHOOD SENIOR CENTER,8,0
ARTHUR ASHE STADIUM,8,0
JENNY JEROME PLAYGROUND,7,0
QUEENS CENTRAL LIBRARY,5,0
ST MARKS METHODIST CHURCH,6,1
ARVERNE POST OFFICE,6,0
NY CONTAINER TERMINAL,6,0
TBTA E & C RFK FACIL ENGIN BUILDING,13,1
GAYLORD WHITE COMMUNITY CENTER,7,1
BRONX HOUSE COMMUNITY CENTER,6,0
UDALLS RAVINE,6,0
ST JOHN VILLA ACADEMY,5,0
HUNTS POINT RIVERSIDE AMPHITHEATER,11,0
DONGAN PLAYGROUND,6,0
HARLEM HOMELESS SHELTER,7,1
LA GUARDIA HOUSES,6,1
CYPRESS HILLS ASCEND CHARTER SCHOOL,9,0
TBPD DIST 23,7,0
UNION SQUARE ACADEMY FOR HEALTH SCIENCES,7,1
ST TERESA CHURCH,5,1
MASJID BAIT UL TAHIR,9,0
ALAMEDA MALLS,5,0
JACKSON POND PLAYGROUND,6,0
PS 122 MAMIE FAY,10,0
POLO GROUNDS TOWERS BLDG 2,12,1
ST JOSEPHS COLLEGE ST ANGELA HALL,9,0
MARYMOUNT SCHOOL OF NY 82 ST CAMPUS,11,1
BERKELEY CARROLL MIDDLE & HIGH SCHOOL,9,0
ROCKEFELLER UNIVERSITY ROCKEFELLER RESEARCH BUILDING,12,1
CO-OP CITY GARAGE 2,9,0
CENTRAL PARK RUTH AND ARTHUR SMADBECK-HECKSCHER EAST PLAYGROUND,16,1
AMERICAN COPPER EAST TOWER,5,1
QUEENS COMMUNITY BOARD 3,7,0
PROSPECT PARK DONGAN OAK MONUMENT,10,0
NEW YORK UNIVERSITY KIMBALL BLOCK,7,1
FAIRVIEW PARK PLAYGROUND,6,0
TODT HILL HOUSES BLDG 6,11,0
RUPPERT PARK,4,1
BRIDLE PTH W OV  65 TRNVS EB EN,15,1
CPL FISCHER PARK,5,0
NEW BRIGHTON CHURCH OF GOD IN CHRIST,10,0
RESURRECTION CHURCH,6,0
TISCH CHILDRENS ZOO CIRCULAR BENCH,12,1
FDNY PURPLE K 33,9,1
CO-OP CITY BUILDING 23,9,0
U-HAUL MOVING & STORAGE PORT RICHMOND,11,0
SHEEPSHEAD BAY HOUSES BUILDING 4,10,0
JOSEPHINE CAMINITI PLAYGROUND,8,0
BARTLETT PLAYGROUND HANDBALL COURT,8,0
LITTLE RED WAGON CHILD CARE CENTER,8,0
FLUSHING CREEK,4,0
SOUTHBRIDGE TOWERS,5,1
ORCHARD BEACH SOUTH,6,0
OL MERCY CHURCH,5,0
CINEMA VILLAGE THEATRE,5,1
DOHMH CENTRAL HARLEM CLINIC,9,1
ENGINE 10 LADDER 10,11,1
MANHATTAN COMMUNITY BOARD 10,10,1
MLK JR PLAYGROUND COMFORT STATION,8,0
HIGH LINE 11 AVE ENTRANCE,9,1
WILLOWBROOK PARK PICNIC AREA,8,0
MC KINLEY SQUARE,5,0
DEP WARDS ISLAND OLD ADMINISTRATION BUILDING,8,1
SPUYTEN DUYVIL LIBRARY,9,0
DALLAS BBQ WASHINGTON HEIGHTS,7,1
LINCOLN HOUSES BUILDING 9,8,1
ELECTRIC LADYBUG GARDEN,5,1
PS 90 HORACE MANN,9,0
HUNTER COLLEGE ROOSEVELT HOUSE,9,1
CHILDRENS LEARNING CENTER AT HUNTER COLLEGE,10,1
SHEARITH ISRAEL CONGREGATION,8,1
ROCKEFELLER UNIVERSITY IT PAVILION,10,1
HARLEM RIVER PARK,5,0
COTHOA LUNCHEON CLUB SENIOR CENTER,10,1
AMERITANIA HOTEL AT TIMES SQUARE,8,1
PELHAM PARKWAY MALLS,7,0
RACHEL CARSON INTERMEDIATE SCHOOL,8,0
ALLEY PARK ATHLETIC FIELD,8,0
ISABELLA ADULT DAY HEALTH CARE,8,1
REDFERN EARLY CHILDCARE CENTER,8,0
SOUTH JAMAICA II BUILDING 27,9,0
ST JOHNS LUTHERAN CHURCH GREENPOINT,10,0
REVELATION CHURCH,5,0
PS 65 THE RAYMOND YORK ELEMENTARY SCHOOL,12,0
WATERSIDE CHILDRENS STUDIO SCHOOL,9,0
COLLEGE OF STATEN ISLAND - BALL FIELD 1,11,0
TRINITY PRESBYTERIAN CHURCH,8,1
RIIS 2 HOUSES BUILDING 19,11,1
EAST 107 ST RECREATIONAL PIER,10,1
NORTHWELL HEALTH REGO PARK,7,0
RIVIERA PLAZA,6,0
PELHAM PARKWAY HOUSES BLDG 11,13,0
WASHINGTON HEIGHTS REHAB PHASE IV D,9,1
HAWTREE BASIN,5,0
TUSCANY HOTEL,6,1
TOT LOT 110,7,1
S BEACH AREA LIFEGUARD STATION,7,0
PS 52 JOHN C THOMPSON,8,0
IMPERIAL COURT HOTEL,6,1
COLLEGE OF STATEN ISLAND ENGINEERING TECHNOLOGIES,8,0
SEWARD PARK EXTENSION HOUSES SHED,9,1
PORT RICHMOND DOCK LIGHT B,8,0
HOPE GARDEN,3,1
MT CALVARY METHODIST CHURCH,8,1
COMMUNITY LIFE CENTER MT MORRIS HEAD START,8,1
ENDICOTT BUILDING,5,1
CANAL PARK,4,1
BETTY BRADY SQUARE,6,0
TRINIDAD & TOBAGO MISSION TO UN,11,1
BROWNSTONE SCHOOL,4,1
MARBLE HILL HOUSES CHILDRENS CTR,10,1
BHUTAN CONSULATE,6,1
JAMAICA EVENING HIGH SCHOOL M,8,0
OUR SAVIOURS ATONEMENT LUTHERAN CHURCH,12,1
ADVENT LUTHERAN CHURCH,7,1
MOTT HAVEN HOUSES BUILDING 5,10,0
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,7,1
PS 54 CHARLES W LENG,9,0
THE TOWN SCHOOL,4,1
QUEENS COMMUNITY BOARD 14,8,0
THE ACTIVE LEARNING ELEMENTARY SCHOOL,7,0
COENTIES SLIP PARK,6,1
HRA MEDICAID OFFICE CHINATOWN,10,1
CLINTON HOUSES,5,1
RIVER PARK NURSERY SCHOOL,7,1
INWOOD HILL PARK SHORAKAPOK ROCK,11,1
DEP WARDS ISLAND CFN STORAGE,8,1
SISULU WALKER CHARTER SCHOOL OF HARLEM,10,1
LAO CONSULATE & MISSION TO UN,9,1
GOVERNORS ISLAND WEST RACK LIGHT,8,1
SHERIDAN ACADEMY FOR YOUNG LEADERS,10,0
HAITI CONSULATE 13 FL,9,1
AMBROSE CHANNEL RANGE LIGHTHOUSE,10,0
BWY PRESCHOOL & DAYCARE,8,0
RIVERSIDE PARK 146 & 147 BASEBALL FIELDS,17,1
NEW DELANCEY HOTEL,6,1
LINCOLN SQUARE SYNAGOGUE,7,1
CLAREMONT PARKWAY OV METRO NORTH,9,0
TREVOR DAY SCHOOL W 88 ST,11,1
RESCUE BAPTIST CHURCH,7,1
JOHN JAY COLLEGE HAAREN HALL,8,1
IRELAND MISSION TO UN,6,1
SRI LANKA CONSULATE,8,1
BROADMOOR BUILDING,5,1
CATHOLIC KOLPING SOCIETY KOLPING ON CONCOURSE FACILITY,13,0
FREE APOSTOLIC CHURCH OF PENTECOST,10,0
SACRED HEART SCHOOL OF BAYSIDE,9,0
BEACH CHANNEL,4,0
ST LEO SCHOOL,4,0
ALBERT APARTMENTS,5,1
LITTLE SUN PEOPLE CHILD CARE,6,0
BARNARD COLLEGE PLIMPTON HALL,9,1
LUNA PARK PLAYGROUND,6,0
SOUNDVIEW HOUSES QUONSET HUT,9,0
BUCKLE MY SHOE NURSERY SCHOOL W 13 ST,14,1
BRONX ZOO ANIMAL HOLDING BUILDING,9,0
SUCCESS ACADEMY CHARTER SCHOOL WILLIAMSBURG,9,0
UNITED NATIONS UNDERPASS TRAFFIC,6,1
E DRV OVR PED PATH OPP E   67 ST,14,1
MEDGAR EVERS COLLEGE BEDFORD BUILDING,9,0
WAVE HILL PERKINS VISITOR CENTER & SHOP,10,0
BROOKLYN NAVY YARD - BUILDING 10,11,0
THE BRONX MATHEMATICS PREPARATORY SCHOOL,8,0
HOME DEPOT ROCKAWAY BLVD,8,0
GOUVERNEUR GARDENS BLDG 4,13,1
BAIS YAAKOV DKHAL ADAS YEREIM SCHOOL BEDFORD AV,17,0
PARK AVE ADULT DAY CARE CENTER,7,1
WILLIAMSBRIDGE POST OFFICE,6,0
SCHMUL PARK PLAYGROUND,6,0
FOREST AVENUE CAMPUS,4,0
SUNSHINE HOTEL,5,1
ST MALACHYS CHURCH,6,1
MARINA CAFE,4,0
FOOTBRIDGE OVER BROOKS LAKE DAM,8,0
BROWNSTONES HOUSES BUILDING 31,10,1
THE CENTRAL BUILDING,4,1
PS 28 WRIGHT BROTHERS,7,1
AFGHANISTAN MISSION TO UN,8,1
TABERNACULO DE LA FE,8,1
VLADECK HOUSES BUILDING 20,10,1
PS 126 JACOB AUGUST RIIS,10,1
ALLERTON AVE TRAFFIC CIRCLE,7,0
SENEGAL MISSION TO UN,7,1
DOUGLASS II HOUSES BUILDING 2,9,1
GOLDS GYM HOWARD BEACH,7,0
PS 125 RALPH BUNCHE,9,1
KONGEN DAYCARE,6,0
RAIMONDA PLAYGROUND BASKETBALL COURTS,10,0
RED BALLOON LEARNING CENTER,7,1
NOTRE DAME ACADEMY ELEMENTARY SCHOOL,9,0
WASHINGTON MARKET SCHOOL HUDSON ST,7,1
JOHANN CHRISTOPH FREDRICH VON SCHILLER,11,1
LOWER EAST SIDE III BUILDING 1,8,1
BERMAN JCC EARLY CHILDHOOD CENTER,9,0
E NY CITY LINE HOUSES BLDG 12,13,0
PERETZ SQUARE,4,1
PS 130 HERNANDO DESOTO,11,1
ERIE BASIN,3,0
ASSER LEVY PARK,6,1
SOFITEL HOTEL,5,1
TAL TAL DAYCARE 73 AVE,9,0
NEW YORK UNIVERSITY 22 WASHINGTON SQ N,10,1
CONGREGATION OR ZARUA,8,1
WOMENS ACADEMY OF EXCELLENCE HIGH SCHOOL,10,0
JEFFERSON HOUSES BUILDING 16,9,1
ST GREGORY SCHOOL,5,1
FOREST PARK STRACK POND,6,0
LEXINGTON HOUSES BUILDING 4,8,1
BERGEN TRIANGLE,5,0
EPIPHANY UPPER SCHOOL,6,1
PARK SLOPE PLAYGROUND,6,0
YOUNG VOICES ACADEMY OF THE BRONX,9,0
HOUSE ON THE ROCK,5,0
ST FRANCIS OF ASSISI CHURCH,7,0
RED APPLE CHILD DEVELOPMENT CENTER 7TH AV,10,0
ARDEN WOODS,5,0
FABER PARK POOL,5,0
FIRST HOUSES COMPLEX,5,1
BROOKLYN NAVY YARD - BUILDING 1,10,0
BLAKE HOBBS PLAYGROUND,7,1
TAFT HOUSES BUILDING 6,8,1
MARINE INSPECTION OFC,6,1
BK BOTANIC GARDEN CONSERVATORY,8,0
NEWTOWN CREEK DISINFECTION BLDG,10,0
SINGAPORE CONSULATE & MISSION TO UN,9,1
GOOD NEWS CHURCH,4,1
TOTTENVILLE STATION SUBSTATION,8,0
INFINITY MENNONITE CHURCH OF HARLEM,9,1
DHS COTTAGE 3,8,1
ST STANISLAUS BISHOP & MARTYR RC CHURCH,12,1
HARLEM RIVER DRIVEWAY,6,1
DEKOVATS TRIANGLE,6,1
CREATIVE LITTLE GARDEN,5,1
TRABAJAMOS COMMUNITY HEAD START UNIVERSITY AVE,10,0
NEW YORK UNIVERSITY BROWN BUILDING,6,1
GOUVERNEUR PLAYGROUND COMFORT STATION,10,0
JEFFERSON HOUSES BUILDING 18,9,1
AMISTAD DUAL LANGUAGE SCHOOL,7,1
NYC BOARD OF ELECTIONS,6,0
BETH ISRAEL MEDICAL CENTER PHILLIPS AMBULATORY CARE CENTER,11,1
SMITH HOUSES BUILDING 10,8,1
PANAMA CONSULATE,5,1
WOMENS SHELTER LAFAYETTE ST,11,1
GUIDER AVE RAMP OV BELT SHR PKW,12,0
MARINERS HARBOR FINANCE POST OFFICE,9,0
STANTON STREET COURTS,6,1
MEADOW LAKE,4,0
MID MANHATTAN ADULT LEARNING CENTER,9,1
CHRYSLER BUILDING,5,1
CENTER FOR PRESCHOOL & FAMILY LEARNING HEAD START W 155 ST,16,1
BARROW STREET NURSERY SCHOOL,7,1
WILLOWBROOK PARK BAPTIST CHURCH,9,0
BLESSED SACRAMENT SCHOOL,8,0
STUDIO 54,5,1
THOMAS JEFFERSON BATH HOUSE,6,1
MARKHAM GARDENS BUILDING 16,9,0
JEFFERSON HOUSES BUILDING 1,8,1
PARS GRILL HOUSE,6,1
FT TRYON SOUTHBOUND-DOWNTOWN BUS STOP,12,1
YESHIVA AHAVAS TORAH,9,0
RYDER RETAIL POST OFFICE,6,0
ELMER HOLMES BOBST LIBRARY NYU,9,1
SMITH HOUSES BUILDING 2,7,1
YESHIVA AHAVAS ISRAEL BOYS SCHOOL,10,0
BATTALION 12 ENGINE 35 LADDER 14,18,1
EMMANUEL DAY CARE KINDERGARTEN,9,0
CENTRAL PARK PRECINCT,6,1
JEHOVAHS WITNESSES CLINTON CONGREGATION,12,0
UNION COMMUNITY HEALTH CENTER E FORDHAM RD,10,0
ADLEPHI POST OFFICE,6,0
GENEVA SCHOOL OF MANHATTAN EAST CAMPUS,11,1
MANHATTAN CHILDRENS CENTER,9,1
SUNKEN MEADOW FIELD 37,9,1
INTERNATIONAL PRESCHOOL E 45 ST,9,1
CENTER FOR PRESCHOOL & FAMILY LEARNING HEAD START W 155 ST,16,1
LITTLE MIRACLES PRESCHOOL EDEN II PROGRAM,11,0
MACEDONIA AME CHURCH,7,0
BRONX ZOO RIVER PARKING,7,0
EDMUND W GORDON BROOKLYN LABORATORY CHARTER SCHOOL,11,0
CONGREGATION AHAVATH ISRAEL,8,0
OUR SAVIOURS ATONEMENT LUTHERAN CHURCH,12,1
MOTHER CABRINI PARK,6,0
SCHOMBURG PLAZA SENIOR CITIZEN CENTER,10,1
OCEAN BAY APARTMENTS (OCEANSIDE),12,0
PS 76 GARDEN,6,1
RIIS HOUSES BUILDING 3,8,1
WESTERLEIGH PARK,6,0
PS 112 BRONXWOOD,9,0
HAMILTON GRANGE POST OFFICE,7,1
RECREATION CENTER 54,8,1
HARBOR SCIENCE AND ARTS CHARTER SCHOOL,9,1
DEPOT PL BR OV METRO N HUDSON LA,11,0
DHS COTTAGE 1,8,1
IS 24 MYRA S BARNES,10,0
CHRISTOPHER PARK,4,1
JUJAMCYN THEATRE 44 ST,10,1
BELLEVUE SOUTH NURSERY SCHOOL,8,1
HULL STREET COMMUNITY GARDEN,6,0
ASHFORD STREET ABUNDANT GARDEN,8,0
ENGINE 5,4,1
EDISON HOTEL,4,1
PS 112 DUTCH KILLS,10,0
EMS HEADQUARTERS,5,0
PARK SOUTH,3,1
I-278 BQE EB OVER WASHINGTON ST,12,0
PROSPECT PARK ZOO HALL OF ANIMALS,9,0
MCCARREN PLAY CENTER,6,0
PLAYGROUND FOR ALL CHILDREN,6,0
WILLIAMS PLAZA BUILDING 4,8,0
EAST   14 ST OVER LIRR BAY RIDGE,11,0
RIVERSIDE PARK RECREATION AREA,8,1
17 PRECINCT,6,1
CENTER FOR PRESCHOOL & FAMILY LEARNING HEAD START W 155 ST,16,1
CLAREMONT PARK GAZEBO,8,0
ENGINE 218,6,0
JHS 67 LOUIS PASTEUR,10,0
THROGS NECK,5,0
JANES UNITED METHODIST CHURCH,7,0
NEW YORK UNIVERSITY RUBIN RESIDENCE HALL,8,1
GRANT DAY CARE CENTER,5,1
PS 111 ADOLPH S OCHS,11,1
WISHING WELL GARDEN,5,0
BLESSED SACRAMENT CHURCH,8,1
COOPER UNION,4,1
DIAMANTE GARDEN,4,1
FDNY PURPLE K 163,10,0
QUEENS CRIMINAL COURT,5,0
CONCH PLAYGROUND,5,0
INGERSOLL PROJECTS BUILDING 29,10,0
BLOOMINGDALE WOODS,6,0
BENJAMIN FRANKLIN STATUE,6,1
BENJAMIN HOTEL,4,1
CENTRAL PARK SAFARI PLAYGROUND,7,1
ST MARYS CEMETERY OFFICE,8,0
ISABELLA ADULT DAY HEALTH CARE,8,1
RACHEL CARSON INTERMEDIATE SCHOOL,8,0
ENGINE 313 LADDER 164,13,0
BOWNE HOUSE,4,0
VANCOUVER BUILDING,4,1
BAY RIDGE UNITED METHODIST CHURCH,7,0
PS 60 PLAYGROUND,7,0
SOUTH SHORE GOLF COURSE,6,0
CON ED SUBSTATION 22 ST,9,0
NEW LIFE COMMUNITY CHURCH,5,0
GEORGE WASHINGTON HOTEL,4,1
BATTALION 42 ENGINE 243 LADDER 168,20,0
VERRAZZANO,5,0
STUYVESANT TOWN 435 E 14 445 E 14,22,1
PS 63 OLD SOUTH,7,0
PS 98 SHORAC KAPPOCK,11,1
ST CAMILLUS SCHOOL,6,0
ALICE AUSTIN PARK,4,0
SILVER LAKE TENNIS HOUSE,6,0
ST DUMITRU ROMANIAN ORTHODOX CHURCH,12,1
HILTON GARDEN INN HOTEL TIMES SQUARE,8,1
COLLEGE OF STATEN ISLAND BIOLOGY & CHEMISTRY,9,0
FORDHAM UNIVERSITY LINCOLN CENTER CAMPUS,8,1
ALEXANDER HAMILTON PLAYGROUND,6,1
BIG BUSH PLAYGROUND COURTS,7,0
GRAMERCY ARTS THEATRE,6,1
WOMENS ACADEMY OF EXCELLENCE HIGH SCHOOL,10,0
COOPER PARK DOG RUN,6,0
MAN TRAFFIC 212 239 2500,16,1
PETER COOPER VILLAGE 541 E 20,12,1
HARLEM RIVER II,5,1
NORMAN THOMAS EDUCATIONAL CAMPUS,6,1
SAMUEL CITY HOUSES BUILDING 44,10,1
ST CLARES SCHOOL,5,0
TEMPO APARTMENTS,4,1
NEW YORK PRESBYTERIAN HOSPITAL WEILL CORNELL MEDICAL CENTER,14,1
LITTLE LAMB PRESCHOOL,5,0
CENTRAL PARK SHEEP MEADOW S,8,1
DEP WARDS ISLAND MARINE BUILDING,7,1
MANHATTAN COLLEGE ROBERT MAHAN PHYSICAL PLANT,11,0
PS 18 JOHN G WHITTIER,9,0
JOSEPH RODMAN DRAKE PARK,7,0
ADVENT LUTHERAN CHURCH,7,1
MARCUS GARVEY PLAYGROUND 124 ST NEAR MT MORRIS PARK W,17,1
ENGINE 273 LADDER 129,13,0
CENTRAL PARK BALLFIELDS CAFE,6,1
GOVERNORS ISLAND WEST RACK LIGHT,8,1
ALL SOULS SCHOOL,5,1
INTERNATIONAL ACADEMY OF HOPE,5,1
FOREST AVE FTBR OVR STRM IN PRK,12,0
FOREST AV OVR CLOVE LKS PK STRM,12,0
HRD OV E 127 ST RMP TO/FR HRD NB,18,1
HOPE GARDEN,3,1
ST PAULS MEMORIAL CHURCH,6,0
GOVERNORS ISLAND FERRY GOVERNORS ISLAND TERMINAL,11,1
CANARSIE LIBRARY,5,0
OUTERBRIDGE PARK AND RIDE,7,0
INWOOD BASKETBALL COURTS,7,1
WHITE CROSS FISHING CLUB BEACH,6,0
CHILDREN'S GARDEN,5,1
WILLIAMS PLAZA BUILDING 1,8,0
FRENCH CONSULATE,5,1
NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY & MATH HIGH SCHOOL,12,1
ROCKEFELLER UNIVERSITY ABBY ALDRICH ROCKEFELLER HALL,16,1
TISCH CHILDRENS ZOO LILY PAD WALK,12,1
DHS COTTAGE 2,8,1
FDNY EMS STATION 7,7,1
OLD CHELSEA POST OFFICE,7,1
FINGERBOARD ROAD OVR SIRT S SHR,11,0
BARRY PLAZA,5,0
ISLAND SHORES SENIOR RESIDENCE,7,0
TOWN HALL THEATRE,4,1
ETHEL BARRYMORE THEATRE,7,1
GUN HILL PLAYGROUND,5,0
PIER 47 ST,6,0
CPF PLAYGROUND,4,1
NEW YORK UNIVERSITY DAGOSTINO HALL,9,1
BULGARIA MISSION TO UN,7,1
AMC MAGIC JOHNSON HARLEM 9 THEATRE,9,1
COLLEGE OF STATEN ISLAND ST GEORGE,8,0
DWIGHT SCHOOL 291 CENTRAL PARK W,11,1
WASHINGTON HTS REHAB PHASE III HOUSES BUILDING 7,12,1
LORD & TAYLOR STORE,5,1
SUCCESS ACADEMY WASHINGTON HEIGHTS,6,1
CENTER TO PRESCHOOL & FAMILY HEAD START AMSTERDAM AV,13,1
WASHINGTON HTS REHABS I AND II,9,1
QUEENS COLLEGE DINING HALL,7,0
PEDERSEN PLAYGROUND BASKETBALL COURT,9,0
RIVER PARK,4,0
NEW YORK UNIVERSITY CASA ITALIANA ZERILLI-MARIMO,14,1
ST JOHNS U CENTURY HALL,7,0
BATTALION 57 ENGINE 235,13,0
GREENPOINT YMCA,4,0
ASTOR APARTMENTS,5,1
WILLOUGHBY PLAYGROUND BASKETBALL COURT,9,0
RENAISSANCE PLAYGROUND,7,1
DEP WARDS ISLAND POWER CENTER 5 A,10,1
BRONX YMCA,4,0
HAMILTON FISH RECREATION CENTER,7,1
HOLMES TOWERS BUILDING 2,8,1
LONG ISLAND BAPTIST HOUSES,8,0
DEP WARDS ISLAND POWER CENTER 5 A,10,1
BUSH TERMINAL ROUNDHOUSE,7,0
ADAMS HOUSES BUILDING 7,8,0
DOUGLASS REHABS,6,1
TOMPKINS AVENUE OVER B&O RAIL RD,11,0
BRUCKNER EXPWY SB OV AMTRK CSX,13,0
CASTLE HILL HOUSES BUILDING 6,9,0
GOVERNORS ISLAND PARADE GROUND,7,1
HARLEM GROWN 134 STREET FARM,11,1
JACOB K JAVITS FEDERAL OFFICE BUILDING,9,1
MT SINAI PRIMARY CARE ASSOCIATES BUILDING UPPER EAST SIDE,11,1
HUGH CAREY TUNNEL VENTILATION BUILDING,11,1
WAGNER COLLEGE HORRMANN LIBRARY,9,0
BRAZIL CONSULATE,5,1
SUCCESS ACADEMY FORT GREENE (BROOKLYN 5),12,0
JOHNSON AVENUE YARD,6,0
SI SKATING PAVILION,7,0
ST CHRISTOPHERS RC CHURCH,7,0
DREISER MALL,4,0
SEDGWICK HOUSES BUILDING 2,9,0
THE ALLEN ROOM,4,1
VAN CORTLANDT PARK GUN HILL MEADOW,10,0
SOUTH SHORE YMCA NURSERY SCHOOL,8,0
PS 69 DANIEL D TOMPKINS,10,0
HALLETS POINT PLAYGROUND (AREA B),10,0
MORRIS ACADEMY FOR COLLABORATIVE STUDIES,9,0
STUYVESANT HEIGHTS CHRISTIAN CHURCH,9,0
PELHAM PARKWAY HOUSES BLDG 11,13,0
PRINCETON CLUB,6,1
ENGINE 95 LADDER 36,11,1
NEW WORLD HOTEL,4,1
PLAYGROUND 149,7,1
HANAC ANGELO PETROMELIS SENIOR CENTER,11,0
ARMENIAN EVANGELICAL CHURCH,8,1
REFORM TEMPLE OF FOREST HILLS,7,0
PS 234 ANNEX,7,1
CENTRAL PARK SHUMAN RUNNING TRACK,8,1
MUSEUM OF CONTEMPORARY ART,8,1
BEULAH BAPTIST CHURCH,8,1
LAGREE BAPTIST CHURCH,7,1
MIDTOWN WEST 39 STREET FERRY LANDING,12,1
LINCOLN CENTER DAVID GEFFEN HALL,9,1
HUNTS POINT PRODUCE MARKET,7,0
EAST 111 ST PED BRDG OVER FDR DR,13,1
LINCOLN HOUSES BUILDING 12,9,1
OLMSTED-BEIL COMPLEX,8,0
TBTA RANDALLS ISLAND COMPLEX,8,1
MUSLIM CENTER OF MANHATTAN,9,1
OCEAN BAY (BAYSIDE) BLDG 24,15,0
RANDALLS ISLAND FIELD 62,9,1
EAST RIVER TUNNEL LINE 4,8,1
ESPLANADE SENIOR LIVING,6,0
JHS 125 RECREATION AREA,10,0
WALD HOUSES BUILDING 8,8,1
DANIEL WEBSTER  HOUSES CHILD HEALTH CENTER,10,0
CONFERENCE HOUSE PARK,5,0
CO-OP CITY BUILDING 32A,10,0
LINCOLN SQUARE,4,1
GREGORIO LUPERON HS FOR SCIENCE & MATHEMATICS,12,1
KENNEDY CHILD STUDY CENTER,7,1
ROSEMARYS PLAYGROUND,7,0
EATALY FLATIRON,5,1
BETANCES III 13 HOUSES,9,0
LINCOLN HOUSES BUILDING 3,8,1
UDALLS RAVINE,6,0
PSS DAVIDSON SENIOR CENTER,6,0
BENSONHURST JEWISH COMMUNITY,8,0
WASHINGTON HOUSES BUILDING 4,7,1
WILLIAMSBRIDGE POST OFFICE,6,0
FDNY ACADEMY OLD LAW TENEMENT,8,1
DIAS Y FLORES GARDEN,7,1
BOARD MISSIONS METHODIST CHURCH,7,1
CASSIDY-LAFAYETTE HOUSES BUILDING 1,14,0
AMC LOEWS ORPHEUM THEATER 3 AVE,13,1
NEW VANDERBILT REHABILITATION & CARE CENTER,13,0
BRIGHTSTAR CARE SOUTH BROOKLYN,7,0
TAJIKISTAN MISSION TO UN,8,1
RICHMOND ENGINE CO 1 VOLUNTEER,10,0
UNITED NATIONS CONFERENCE BUILDING,5,1
HUNGARIAN BAPTIST CHURCH,8,1
JACOB K JAVITS FEDERAL OFFICE BUILDING,9,1
SAMUEL CITY HOUSES BUILDING 5,9,1
SEAMENS CHURCH INSTITUTE,6,1
LOWER E SIDE 2 GARAGE,8,1
ST PAULS BAPTIST CHURCH,8,1
DSNY DISTRICTS 1 ADMINISTRATION BUILDING,9,0
SOUTH BRONX PREPARATORY A COLLEGE BOARD SCHOOL,10,0
AMERICAN ACADEMY OF DRAMATIC ARTS,7,1
CAMPOS COMMUNITY GARDEN,5,1
HIGH BRIDGE PARK POOL,5,1
BATTERY MARITIME BUILDING FERRY,8,1
COLUMBIA UNIVERSITY BUELL HALL,8,1
ST CHARLES BOROMEO SCHOOL,7,1
INWOOD PARK,4,0
PHYLS ACADEMY,4,0
RIVER SCHOOL WEST SIDE,6,1
COMMODORE BARRY PARK COMFORT STATION,9,0
MCKINLEY PLAYGROUND,7,1
NEW YORK UNIVERSITY 19 WASHINGTON SQ N,10,1
SWAZILAND MISSION SUITE 420,11,1
WEST 4 ST COURTS,7,1
VANBRO CORPORATION,4,0
WASHINGTON HTS REHAB PHASE III HOUSES BUILDING 7,12,1
GRND CNCOURSE OV E KINGSBRDGE RD,11,0
HUDSON YARDS SHOPS AND RESTAURANTS,10,1
BROOKLYN MOVEMENT CENTER,5,0
FDNY BOROUGH COMMAND DIVISION 1,9,1
PS 38 GEORGE CROMWELL,9,0
DPR RANDALLS ISLAND COMPLEX,8,1
ENGINE 21,5,1
NYU BROADWAY BLOCK B,7,1
HOLY NAME OF JESUS RC CHURCH,7,0
CHRIST UNITED METHODIST CHURCH,6,0
WALD HOUSES BUILDING 16,9,1
ARMSTRONG I HOUSES BLDG 3,11,0
HRA MEDICAID OFFICE MORRISANIA,9,0
SOUTH SHORE YMCA,5,0
MANHATTANVILLE HOUSES BUILDING 6,11,1
PS 184 SHUANG WEN SCHOOL,12,1
MILL ROCK NORTH LIGHT 1,7,1
MARTIN LUTHER KING JR EDUCATIONAL CAMPUS,8,1
AMERICAN VETERANS MEMORIAL PIER,6,0
GLICK PARK,4,1
DALY AVE GARDEN,5,0
SOLOMON R GUGGENHEIM MUSEUM,9,1
